"Variable","Emergentes Complejas","Rurales Resilientes","Tradicionales Estables","Élite Institucional"
"Índice de Logro Académico",0,-1.35,0.31,1.04
"Tendencia de Desempeño",-0.28,1.42,-0.21,-0.92
"Nivel de Vulnerabilidad Contextual",-0.02,1.03,0.34,-1.35
"Tipo de Ruralidad",0.5,0.5,0.5,-1.5
"Índice de Desempeño Docente",0.43,1.04,-0.15,-1.31
"Ratio Estudiante-Docente",0.93,-0.68,-1.03,0.78
"Tipo de Organización Escolar",0.52,-0.07,-1.37,0.92
"Tendencia de Matrícula",0.49,-1,-0.64,1.15
"Nivel Educativo",-1.09,1.04,-0.58,0.63
"Altitud Geográfica",-0.68,1.46,-0.61,-0.17
