"CODIGO_MODULAR","NOMBRE_INSTITUCION","Cluster","Tipologia_Aprobada"
"1147735","601331",1,"Tradicionales Estables"
"1148402","6010102",1,"Tradicionales Estables"
"1151695","573",1,"Tradicionales Estables"
"1152057","604",1,"Tradicionales Estables"
"1152255","656",1,"Tradicionales Estables"
"1152321","678",1,"Tradicionales Estables"
"1153527","601391",1,"Tradicionales Estables"
"1153881","601444",1,"Tradicionales Estables"
"1153964","601448",1,"Tradicionales Estables"
"1154129","601496",1,"Tradicionales Estables"
"1154368","601511",1,"Tradicionales Estables"
"1154400","601514",1,"Tradicionales Estables"
"1154608","601528",1,"Tradicionales Estables"
"1210491","6010230 BARBARA D'ACHILLE",1,"Tradicionales Estables"
"1261775","601563",1,"Tradicionales Estables"
"1262856","601570",1,"Tradicionales Estables"
"1263219","601571",1,"Tradicionales Estables"
"1273960","601580",1,"Tradicionales Estables"
"1306182","852",1,"Tradicionales Estables"
"1320001","601614",1,"Tradicionales Estables"
"1374834","846",1,"Tradicionales Estables"
"1378355","601678",1,"Tradicionales Estables"
"1402866","36789 NUESTRA SEÑORA DEL CARMEN",1,"Tradicionales Estables"
"1433515","65199",1,"Tradicionales Estables"
"1495167","843",1,"Tradicionales Estables"
"1516269","909",1,"Tradicionales Estables"
"1527340","809",1,"Tradicionales Estables"
"1527365","808",1,"Tradicionales Estables"
"1527373","812",1,"Tradicionales Estables"
"1527381","810",1,"Tradicionales Estables"
"1527399","811",1,"Tradicionales Estables"
"1563212","601511",1,"Tradicionales Estables"
"1568799","525-B",1,"Tradicionales Estables"
"1625938","559",1,"Tradicionales Estables"
"1625987","564",1,"Tradicionales Estables"
"1626001","566",1,"Tradicionales Estables"
"1682285","601571",1,"Tradicionales Estables"
"1715416","1416",1,"Tradicionales Estables"
"1715424","1417",1,"Tradicionales Estables"
"1715820","14894",1,"Tradicionales Estables"
"1745710","1558",1,"Tradicionales Estables"
"1785138","36831",1,"Tradicionales Estables"
"260307","14141",1,"Tradicionales Estables"
"271379","64028",1,"Tradicionales Estables"
"271551","64048",1,"Tradicionales Estables"
"273359","64545-B",1,"Tradicionales Estables"
"275107","64115",1,"Tradicionales Estables"
"355271","15304",1,"Tradicionales Estables"
"355289","15383",1,"Tradicionales Estables"
"398313","60133",1,"Tradicionales Estables"
"398347","60136",1,"Tradicionales Estables"
"398370","60181",1,"Tradicionales Estables"
"420448","36167",1,"Tradicionales Estables"
"420562","36201 NUESTRA SEÑORA DEL ROSARIO",1,"Tradicionales Estables"
"464610","15219",1,"Tradicionales Estables"
"464628","15220",1,"Tradicionales Estables"
"530535","64641",1,"Tradicionales Estables"
"571745","14894",1,"Tradicionales Estables"
"595108","295",1,"Tradicionales Estables"
"626424","15055",1,"Tradicionales Estables"
"651398","6010178",1,"Tradicionales Estables"
"657122","64798",1,"Tradicionales Estables"
"666677","64829",1,"Tradicionales Estables"
"673780","15478",1,"Tradicionales Estables"
"674895","14045",1,"Tradicionales Estables"
"683466","6010230 BARBARA D'ACHILLE",1,"Tradicionales Estables"
"686741","177",1,"Tradicionales Estables"
"687194","36465 MICAELA BASTIDAS PUYUCAHUA",1,"Tradicionales Estables"
"721639","404",1,"Tradicionales Estables"
"737783","467",1,"Tradicionales Estables"
"738203","475",1,"Tradicionales Estables"
"738419","601330",1,"Tradicionales Estables"
"738427","601331",1,"Tradicionales Estables"
"807156","64949",1,"Tradicionales Estables"
"830885","64996",1,"Tradicionales Estables"
"840504","20123",1,"Tradicionales Estables"
"937813","489 JOSE MARIA VELAZ",1,"Tradicionales Estables"
"1625904","555-B",2,"Élite Institucional"
"350447","14144 SANTA ROSA",2,"Élite Institucional"
"409672","50492 CORAZON DE JESUS",2,"Élite Institucional"
"600692","NUESTRA SEÑORA DE LA CANDELARIA",2,"Élite Institucional"
"733535","64871-B",2,"Élite Institucional"
"916023","14144 SANTA ROSA",2,"Élite Institucional"
"938142","732 VIRGEN DE MONSERRAT",2,"Élite Institucional"
"1060276","CORAS",3,"Rurales Resilientes"
"1062058","501344",3,"Rurales Resilientes"
"1315084","86548 JOSE MARIA VELAZ",3,"Rurales Resilientes"
"1343813","ALMIRANTE MIGUEL GRAU SEMINARIO",3,"Rurales Resilientes"
"1376300","86783",3,"Rurales Resilientes"
"1376318","88247 SAN ENRIQUE",3,"Rurales Resilientes"
"1457365","LOS RIT'IS DEL ALTO ANDINO",3,"Rurales Resilientes"
"1457605","501432",3,"Rurales Resilientes"
"1608132","86769 ABRAHAM VALDELOMAR",3,"Rurales Resilientes"
"1633189","86769 ABRAHAM VALDELOMAR",3,"Rurales Resilientes"
"1636455","501455 CRISTO REY TTIKARIY",3,"Rurales Resilientes"
"1678861","692 - CAJAY",3,"Rurales Resilientes"
"1678879","693",3,"Rurales Resilientes"
"1741123","501455 CRISTO REY TTIKARIY",3,"Rurales Resilientes"
"1772672","501432 PAPA FRANCISCO I",3,"Rurales Resilientes"
"204933","50715",3,"Rurales Resilientes"
"204974","50719 VIRGEN DEL CARMEN",3,"Rurales Resilientes"
"205401","50765",3,"Rurales Resilientes"
"205716","50796",3,"Rurales Resilientes"
"3040177","87009-01 HUANCHUY",3,"Rurales Resilientes"
"409706","50495",3,"Rurales Resilientes"
"409797","50504",3,"Rurales Resilientes"
"410100","50535",3,"Rurales Resilientes"
"410118","50536",3,"Rurales Resilientes"
"410225","50547",3,"Rurales Resilientes"
"410233","50550",3,"Rurales Resilientes"
"410258","50552 TUPAC AMARU II",3,"Rurales Resilientes"
"410266","50553",3,"Rurales Resilientes"
"410316","50558",3,"Rurales Resilientes"
"414987","86548 JOSE MARIA VELAZ",3,"Rurales Resilientes"
"415059","86731",3,"Rurales Resilientes"
"415117","86769 ABRAHAM VALDELOMAR",3,"Rurales Resilientes"
"415141","86783",3,"Rurales Resilientes"
"420380","36161 SAN VICENTE DE PAUL",3,"Rurales Resilientes"
"420406","36163 JAVIER HERAUD PEREZ",3,"Rurales Resilientes"
"420430","36166 HEROES 29 DE AGOSTO",3,"Rurales Resilientes"
"421594","130",3,"Rurales Resilientes"
"428714","36153 SAYRI TUPAC",3,"Rurales Resilientes"
"428771","36173 SANTIAGO ANTUNEZ DE MAYOLO",3,"Rurales Resilientes"
"428920","36207",3,"Rurales Resilientes"
"487140","50854",3,"Rurales Resilientes"
"519793","50912",3,"Rurales Resilientes"
"520221","86809",3,"Rurales Resilientes"
"541201","88247 SAN ENRIQUE",3,"Rurales Resilientes"
"579987","JORGE CHAVEZ",3,"Rurales Resilientes"
"592428","50976",3,"Rurales Resilientes"
"592543","50977",3,"Rurales Resilientes"
"633040","156",3,"Rurales Resilientes"
"686386","88327",3,"Rurales Resilientes"
"740365","RAMON CASTILLA MARQUEZADO",3,"Rurales Resilientes"
"1151331","536 MI CASITA DEL SABER",4,"Emergentes Complejas"
"1151414","538",4,"Emergentes Complejas"
"1236397","TECNICO MARIA TERESA DE JESUS GERHARDINGER",4,"Emergentes Complejas"
"1261577","60133",4,"Emergentes Complejas"
"1376268","86548 JOSE MARIA VELAZ",4,"Emergentes Complejas"
"1516277","910",4,"Emergentes Complejas"
"1527233","6010231",4,"Emergentes Complejas"
"1551944","87009-01",4,"Emergentes Complejas"
"1681212","1341",4,"Emergentes Complejas"
"1715440","1419",4,"Emergentes Complejas"
"1745728","1559",4,"Emergentes Complejas"
"260315","14145 SANTA JULIA BILLIART",4,"Emergentes Complejas"
"272773","64508-B",4,"Emergentes Complejas"
"350496","14924 DANIEL ALCIDES CARRION",4,"Emergentes Complejas"
"552661","15314",4,"Emergentes Complejas"
"561084","SAGRADO CORAZON DE JESUS",4,"Emergentes Complejas"
"571232","58",4,"Emergentes Complejas"
"571356","14924 DANIEL ALCIDES CARRION",4,"Emergentes Complejas"
"595082","294",4,"Emergentes Complejas"
"613943","14975",4,"Emergentes Complejas"
"682211","EL MILAGRO",4,"Emergentes Complejas"
"683474","6010231",4,"Emergentes Complejas"
"715011","333-B",4,"Emergentes Complejas"
"721647","405",4,"Emergentes Complejas"
"733600","64873-B",4,"Emergentes Complejas"
"737791","469",4,"Emergentes Complejas"
"818682","87009-01",4,"Emergentes Complejas"
"840595","20104",4,"Emergentes Complejas"
"938118","731",4,"Emergentes Complejas"
