seed,silhouette,ARI,CH,DB
0,0.17517525763476163,0.9425624203788504,24.010115883978322,1.619082885966102
1,0.17246389579885915,0.723850993280101,22.521026976317394,1.6321272540077834
2,0.14557389971484463,0.8109294655882993,22.688698274605894,1.961117875581298
3,0.14607665307008552,0.7774926436939984,22.27141502717042,1.983961121749079
4,0.17559919136974225,0.7603024547811482,24.094694546400287,1.7683077340653914
5,0.16826649442194563,0.7148211063164654,24.138690525439078,1.8025518751899394
6,0.17044971039417584,0.7244966576646666,24.29526857639174,1.7928634815071156
7,0.17199375890679997,0.7363453733102087,24.328369319580435,1.7783326882345238
8,0.1635911406737378,0.7163828856312787,24.024723702528792,1.7993837748875152
9,0.16764134435088957,0.7587644174093647,24.027217314039472,1.7748184220661614
10,0.14475103130804304,0.7736499955794617,22.74652123151269,2.048108908789228
11,0.17664592469865334,0.9534176190890661,24.072980555378216,1.6128222890183206
12,0.18008541776490808,0.9877894527416355,24.155526711628333,1.5822889536887217
13,0.14568101288043495,0.7553329638589784,22.691289766537665,1.9946695361271582
14,0.17599407728972516,0.7317401156840064,24.08719176654397,1.75502611643959
15,0.17548214151011304,0.7424982349563876,24.10044972313484,1.7640253167621673
16,0.18056452375939983,1.0,24.113563043482355,1.5717549815167062
17,0.1488460148998554,0.7462381252443967,22.616262978395373,2.024297838346314
18,0.18107334426514765,0.9878261376353624,24.073934167870174,1.5622805492595857
19,0.17463434082023818,0.7847563147283217,24.324235818154264,1.7714443650428318
20,0.18234954515821994,0.9549085214910811,23.66640986846677,1.5314805268396254
21,0.1681649963453604,0.7661573743572567,24.075527540680202,1.7801387338519952
22,0.17838529300777176,0.9757880574294464,24.07157973699873,1.6033945439652737
23,0.17530906983502942,0.7555541570790899,24.318062982357308,1.7626545750219595
24,0.17004375793229798,0.8645165686898718,22.11024650583695,1.769842344353544
25,0.16516569084939378,0.7262632313563991,24.01980698089225,1.7977132808217386
26,0.1579893841196377,0.7663435212387988,22.49914462185146,2.000930529157617
27,0.1431848693954332,0.8039570213604892,22.81990687269804,1.9830468946860602
28,0.17512267899888673,0.7410818375139745,24.15406143460681,1.7592682596422873
29,0.1764153511668857,0.935060454077862,24.048503717173254,1.6033565521502675
