variable,nombre,eta2,mediana,p25,p75,std,moda
X16_MODALIDAD,Modalidad (X16),0.9999999999999993,2.0,2.0,2.0,0.14583052027172538,2.0
X6_CDD,Competencia digital docente (X6),0.8246164788199981,1.7714285714285714,1.7668711656441718,2.1578947368421053,0.22803580952404107,1.7668711656441718
X17_GESTION,Gestión (X17),0.587149799679405,1.0,1.0,2.0,0.4841229182759271,1.0
X2_TR,Ruralidad (X2),0.5461451483607525,2.0,2.0,2.0,0.31796961905021903,2.0
X24_GPMD,Grupo pobreza monetaria (X24),0.4920610909206175,11.0,9.0,14.0,3.873925090255997,14.0
X18_TURNO,Turno (X18),0.39093370306671615,1.0,1.0,1.0,0.8371682397378133,1.0
X11_RED,Ratio estudiantes/docente (X11),0.3661139416421368,12.0,8.0,16.057692307692307,10.915880756001183,9.0
X4_IDD,Desempeño docente (X4),0.36275942655370014,2.9958176912630714,2.7411325315000115,3.3297281136641024,0.7137248224589541,1.5
X14_NIVEL_EDUCATIVO,Nivel educativo (X14),0.3233253807253163,4.0,2.0,4.0,1.3774681405611056,4.0
Y2_TD,Tendencia de desempeño (Y2),0.22598279537841828,0.10235000000000002,0.03204999999999984,0.16460000000000005,0.10860127936525518,0.10235000000000002
X10_IE,Infraestructura digital (X10),0.1734160709028684,0.4962,0.4962,0.5517,0.15239282420487943,0.4962
X1_NVC,Vulnerabilidad contextual (X1),0.14891329084414973,4.0,4.0,4.0,0.6571369130518191,4.0
X13_TMATRC,Tendencia matrícula (X13),0.10523544172702158,0.0,-1.6666666666666667,1.0,4.941984534790569,0.0
X22_MULTIPLICIDAD2,Multiplicidad 2 (X22),0.10415381668413758,1.0,1.0,1.0,0.4449557124156765,1.0
X25_POBLACION_DISTRITO,Población del distrito (X25),0.0995692374509731,124028.0,9579.0,152555.0,69644.31639694239,152555.0
X12_TOE,Organización escolar (X12),0.08582408188980929,3.0,1.0,4.0,1.169261618103065,3.0
X19_ORGANIZACION_PEDAGOGICA,Organización pedagógica (X19),0.06854200840868613,1.0,0.0,2.0,1.0898738025487362,0.0
X21_MULTIPLICIDAD1,Multiplicidad 1 (X21),0.03781427154187524,1.0,1.0,1.0,0.3730256786064613,1.0
X20_DIRECTIVOS_TOTAL,Directivos (X20),0.0370115586682098,1.0,0.0,1.0,0.50020671530281,1.0
Y1_ILA,Logro académico (Y1),0.023083596429746608,1.4670229724498016,1.3787581699346405,1.6617445118311083,0.1931150491205103,1.418
Y3_PR,Progreso relativo (Y3),0.01760059606126034,0.0410958904109589,0.0352713178294573,0.0577200577200577,0.06072676915290083,0.0352713178294573
