codigo_modular,codigo_local,metodo_encontrado,nombre_siagie,nombre_fya,red_fya,nivel,grado,alumnos,departamento,provincia,distrito,turno
1551944,027603,CODIGO_MODULAR,87009-01,87009-01,54,Inicial - Jard¡n,Grupo 5 a¤os,15,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,SEGUNDO,24,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376268,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Inicial - Jard¡n,Grupo 3 a¤os,18,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,PRIMERO,16,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,TERCERO,10,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,PRIMERO,24,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,CUARTO,14,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376318,027641,CODIGO_MODULAR,88247 SAN ENRIQUE,88247 SAN ENRIQUE,54,Inicial - Jard¡n,Grupo 4 a¤os,2,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,SEGUNDO,5,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376268,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Inicial - Jard¡n,Grupo 5 a¤os,11,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,TERCERO,20,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376318,027641,CODIGO_MODULAR,88247 SAN ENRIQUE,88247 SAN ENRIQUE,54,Inicial - Jard¡n,Grupo 3 a¤os,7,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,PRIMERO,7,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,QUINTO,13,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,TERCERO,20,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1633189,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Secundaria,CUARTO,6,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1551944,027603,CODIGO_MODULAR,87009-01,87009-01,54,Inicial - Jard¡n,Grupo 4 a¤os,14,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,TERCERO,23,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,QUINTO,31,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1315084,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Secundaria,CUARTO,25,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1551944,027603,CODIGO_MODULAR,87009-01,87009-01,54,Inicial - Jard¡n,Grupo 3 a¤os,13,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1608132,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Inicial - Jard¡n,Grupo 4 a¤os,7,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,SEGUNDO,27,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,CUARTO,15,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376268,027453,CODIGO_MODULAR,86548 JOSE MARIA VELAZ,86548 JOSE MARIA VELAZ,54,Inicial - Jard¡n,Grupo 4 a¤os,12,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376318,027641,CODIGO_MODULAR,88247 SAN ENRIQUE,88247 SAN ENRIQUE,54,Inicial - Jard¡n,Grupo 5 a¤os,4,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1608132,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Inicial - Jard¡n,Grupo 5 a¤os,4,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1376300,027561,CODIGO_MODULAR,86783,86783,54,Secundaria,QUINTO,12,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1608132,027556,CODIGO_MODULAR,86769 ABRAHAM VALDELOMAR,86769 ABRAHAM VALDELOMAR,54,Inicial - Jard¡n,Grupo 3 a¤os,3,ANCASH,HUAYLAS,PAMPAROMAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,PRIMERO,25,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,SEGUNDO,30,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,QUINTO,22,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,PRIMERO,26,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,TERCERO,26,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,TERCERO,22,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,QUINTO,22,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,CUARTO,19,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,CUARTO,24,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,SEGUNDO,31,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana
