codigo_modular,X13_TMATRC_imputado,metodo
933937,-0.7999999999999999,ML
738427,-0.469047619047619,ML
350447,9.595238095238093,ML
1785484,5.354761904761905,ML
1785476,9.595238095238093,ML
350496,9.595238095238093,ML
1335744,6.890476190476191,ML
1236967,0.34761904761904766,ML
697714,-2.683333333333333,ML
421222,-1.0095238095238095,ML
1791433,-0.8738095238095237,ML
1791466,9.595238095238093,ML
2533906,-0.7142857142857143,ML
0428714,-0.8095238095238095,ML
0304642,2.873809523809524,ML
0488403,0.07857142857142854,ML
0481093,1.4238095238095239,ML
0600692,-5.354761904761906,ML
