codigo_modular,X2_TR
0481093,1
0488403,1
1200906,1
1236967,1
1625904,1
1781897,1
1785476,1
1785484,1
1791433,1
1791466,1
3025715,1
350447,1
409672,1
421222,1
600692,1
697714,1
733535,1
916023,1
933937,1
933960,1
938142,1
0304642,2
0428714,2
0600692,2
1060276,2
1062058,2
1147735,2
1148402,2
1151331,2
1151414,2
1151695,2
1152057,2
1152255,2
1152321,2
1153527,2
1153881,2
1153964,2
1154129,2
1154368,2
1154400,2
1154608,2
1210491,2
1236397,2
1261577,2
1261775,2
1262856,2
1263219,2
1273960,2
1306182,2
1315084,2
1320001,2
1335744,2
1343813,2
1374834,2
1376268,2
1376300,2
1376318,2
1378355,2
1402866,2
1433515,2
1457365,2
1457605,2
1495167,2
1516269,2
1516277,2
1527233,2
1527340,2
1527365,2
1527373,2
1527381,2
1527399,2
1551944,2
1563212,2
1568799,2
1608132,2
1625938,2
1625987,2
1626001,2
1633189,2
1636455,2
1678879,2
1681212,2
1682285,2
1715416,2
1715424,2
1715440,2
1715820,2
1741123,2
1745710,2
1745728,2
1768829,2
1772672,2
1785138,2
204933,2
204974,2
205401,2
205716,2
2533906,2
260307,2
260315,2
271379,2
271551,2
272773,2
273359,2
275107,2
350496,2
355271,2
355289,2
3891735,2
3916573,2
398313,2
398347,2
398370,2
409706,2
409797,2
410100,2
410118,2
410225,2
410233,2
410258,2
410266,2
410316,2
414987,2
415059,2
415117,2
415141,2
420380,2
420406,2
420430,2
420448,2
420562,2
421594,2
428714,2
428771,2
428920,2
464610,2
464628,2
487140,2
519793,2
520221,2
530535,2
541201,2
552661,2
561084,2
571232,2
571356,2
571745,2
579987,2
592428,2
592543,2
595082,2
595108,2
613943,2
626424,2
633040,2
651398,2
657122,2
666677,2
673780,2
674895,2
682211,2
683466,2
683474,2
686386,2
686741,2
687194,2
715011,2
721639,2
721647,2
733600,2
737783,2
737791,2
738203,2
738419,2
738427,2
740365,2
807156,2
818682,2
830885,2
838455,2
840504,2
840595,2
937813,2
938118,2
