codigo_modular,Y3_PR_general
520221,0.00034500000000000004
1376318,0.000968
410316,0.002296
1062058,9.499999999999999e-05
409706,0.000972
410100,0.0005
519793,9.1e-05
592428,0.0006619999999999999
409672,0.0013495
410225,0.0004375
410258,6.85e-05
410266,8.800000000000001e-05
204974,0.0007465000000000001
205401,0.000366
487140,0.002
592543,0.000545
600692,5.649999999999999e-05
420380,0.002095
1060276,0.000196
420430,0.000732
740365,0.0019495000000000003
579987,0.0012400000000000002
1320001,0.001667
1261577,0.00022799999999999999
738427,0.0002875
1153964,0.001333
1154400,0.0006000000000000001
1148402,0.001
1210491,0.000103
1527233,0.000548
682211,0.000161
350447,0.0006943333333333333
260315,0.00029166666666666664
350496,0.0006190000000000001
613943,0.0006205
464610,0.00375
464628,0.0025
355271,0.0007139999999999999
561084,0.0004996666666666667
355289,0.00125
673780,0.001111
840595,0.00019300000000000003
840504,0.001
271379,0.0010946666666666665
271551,0.0015380000000000003
275107,0.0007696666666666667
666677,0.001111
1343813,0.0003
830885,0.00125
1433515,0.01
1457605,0.000891
1772672,0.0031709999999999998
428920,0.001563
1741123,7.6e-05
1781897,0.00125
3025715,0.000556
1768829,0.001429
